"variable","relative_importance","scaled_importance","percentage"
"avg_return",2582661.75,1,0.762991351671826
"del_day",181334.34375,0.0702121924212491,0.0535712955993312
"del_month",174013.671875,0.067377647063151,0.0514085620051808
"del_year",171973.984375,0.0665878852989556,0.0508059806092187
"price_and_age",96038.7265625,0.0371859483970365,0.0283725570306537
"nr_obs",72920.7421875,0.0282347241900725,0.0215428503738646
"item_size",20115.447265625,0.00778864954561897,0.00594267224450997
"brand_id",15531.435546875,0.0060137319751125,0.00458842548828316
"item_id",9827.2958984375,0.00380510374555921,0.00290326125007575
"order_item_id",9666.6455078125,0.00374290032669299,0.00285580057943641
"user_maturity",9565.5205078125,0.00370374498627724,0.00282592539332742
"user_id",8794.8154296875,0.00340532995839951,0.0025982373078478
"order_day",7711.65283203125,0.00298593218102651,0.00227824043080182
"user_dob",7051.34423828125,0.00273026238851497,0.00208316659023178
"item_color",6734.84423828125,0.00260771440095911,0.00198966353556188
"delivery_duration",6093.04248046875,0.00235921040781618,0.00180005713793791
"order_month",4880.88916015625,0.00188986775374524,0.00144195275191108
