"Feature","Gain","Cover","Frequency"
"price_and_age",0.852933759541051,0.553045008756828,0.276732673267327
"order_day",0.10242024327738,0.152714053417584,0.0924092409240924
"user_maturity",0.0260580234275085,0.102778175232063,0.173597359735974
"item_size",0.00404688017101002,0.0307647464337741,0.0524752475247525
"brand_id",0.00296275276378457,0.036842980685921,0.0521452145214521
"item_color",0.00264300102568205,0.0411019090346545,0.064026402640264
"item_id",0.00220464948732671,0.0147863292081855,0.0531353135313531
"return",0.00155157475985842,0.0275522261375599,0.036963696369637
"avg_return",0.00151794815851529,0.0243590414660068,0.0346534653465347
"order_item_id",0.000866098298206196,0.00529871425505861,0.0400990099009901
"del_month",0.000826659692097039,0.00219826723152865,0.0364686468646865
"del_year",0.000449820540859212,0.0052753721946395,0.0163366336633663
"user_id",0.000432236556837564,0.00110492971348076,0.0201320132013201
"delivery_duration",0.000419839940507774,0.000903729422703991,0.01996699669967
"order_month",0.000347158086152267,0.000591031300886439,0.0141914191419142
"user_dob",0.000210593103042392,0.000450096825049165,0.0108910891089109
"nr_obs",0.000108761170180174,0.000233388684075616,0.00577557755775578
